episodes,eval_sod_reward,eval_sod_end_l2
10,-36.30922071168345,0.0017888986906660549
20,-30.552716841459144,0.0015085125366453055
30,-26.46894810274343,0.001291168750324072
40,-23.51951191537543,0.0011744660992449418
50,-21.45504059983738,0.0010864619330624044
60,-19.947095353455932,0.0010150060170888674
70,-18.774441246821514,0.0009689752589361006
80,-17.843009882352828,0.0009430214489090495
90,-17.049538379712498,0.0009252638624147283
100,-16.32368751449705,0.0009064431811983373
110,-15.63784206244911,0.0008826305017028344
120,-15.003076778905827,0.0008696775304032069
130,-14.391691755367654,0.0008495071710089648
140,-13.82686307005581,0.0008160734340412094
150,-13.302497487746264,0.0007852177318614984
160,-12.817696993431198,0.0007542824206051509
170,-12.441358306291031,0.0007148976326177821
180,-12.084834956760224,0.000687067614126702
190,-11.743523653594243,0.0006263456301951116
200,-11.377393307395607,0.0005267313051381831
210,-10.891223020661203,0.0003783151443159841
220,-10.29432584368601,0.00029224122693624946
230,-9.531301895794515,0.0003160859269291958
240,-8.409346342466444,0.00018946177177975093
250,-8.017147676029715,0.0001824361377959504
260,-7.615616728123283,0.00015597617964908678
270,-7.438135326018458,0.00015109905750842434
280,-7.236605014775819,0.00014005123808607958
290,-7.116137087765085,0.00013996513623456023
300,-6.971882902221935,0.00013593696771688988
310,-6.838035178810705,0.00013254478473441724
320,-6.716699532523033,0.00013029730334403829
330,-6.608005953005247,0.00012869420889413755
340,-6.501363837291912,0.00012717020569016552
350,-6.406119318065886,0.00012547154757613224
360,-6.314135921262509,0.0001232118334731316
370,-6.237620679284291,0.00012264726275716296
380,-6.172617196671361,0.00012203634222545598
390,-6.1033164887057625,0.00012090764777377158
400,-6.037140268121256,0.00011961115741139966
410,-5.973947452091785,0.00011869102665565994
420,-5.912146260506387,0.00011785228087014792
430,-5.858614213434476,0.00011785266418491908
440,-5.802454289990751,0.00011730627043851626
450,-5.754051049975437,0.00011753624414335462
460,-5.705494952315903,0.00011707829083211748
470,-5.654283212397495,0.00011624207101196171
480,-5.607437843845496,0.0001156604741328066
490,-5.5617977792714415,0.00011470026271476887
500,-5.519790473501014,0.0001138824703746021
510,-5.486619851767706,0.00011418536372575644
520,-5.451174686246932,0.00011419993163594094
530,-5.416397978477723,0.00011426626508966972
540,-5.379664312003382,0.00011362463329901027
550,-5.345253494722344,0.00011321398756634195
560,-5.315806027601501,0.00011363871844539859
570,-5.282812559235701,0.0001134069419285558
580,-5.244854945322474,0.00011270354256993835
590,-5.206065238566526,0.00011194982034494362
600,-5.166463448353013,0.00011099168870410608
610,-5.129128782098175,0.0001106450882030467
620,-5.0812114756881845,0.00010902063246203187
630,-5.027639300475717,0.0001071459535735251
640,-4.964295620612037,0.00010499373461867395
650,-4.879092397282129,0.00010154571722036311
660,-4.784914461223933,9.759027152184344e-05
670,-4.675115781675938,9.366004779396553e-05
680,-4.575711918455714,9.134159663575886e-05
690,-4.496497981911687,9.149757468299914e-05
700,-4.426163743478783,9.135041269484119e-05
710,-4.358172541591915,9.084597354281501e-05
720,-4.2977712439038624,9.010559933616267e-05
730,-4.246766591467356,9.00735325250274e-05
740,-4.193605851709571,8.939458479529512e-05
750,-4.152971444460885,8.944292761059118e-05
760,-4.114052833022331,8.8987995147555e-05
770,-4.075553051046902,8.849474514368475e-05
780,-4.041071853556068,8.844500183852288e-05
790,-4.002274690758163,8.768856301042328e-05
800,-3.9668891198744354,8.734913919743963e-05
810,-3.936535062604906,8.74976440764913e-05
820,-3.9031865845098395,8.700883094040056e-05
830,-3.8726305883426737,8.670306460652152e-05
840,-3.84438972841869,8.66325845986304e-05
850,-3.8151605312795382,8.633548026242193e-05
860,-3.7879726714858997,8.629798040362905e-05
870,-3.7594663626777916,8.604199146874909e-05
880,-3.730663864190897,8.559989155656946e-05
890,-3.7041603712523674,8.54879316641764e-05
900,-3.6754732989836505,8.497396544601652e-05
910,-3.6465702869133954,8.427875165624764e-05
920,-3.620250381142102,8.386424880475174e-05
930,-3.59018982301683,8.309762071032161e-05
940,-3.567875120592564,8.31117682727681e-05
950,-3.5443375259092753,8.318935030980754e-05
960,-3.517446986477266,8.253844923435702e-05
970,-3.4944540309136607,8.232043446561162e-05
980,-3.4720185696683714,8.202186325695497e-05
990,-3.453605448240035,8.172309589869135e-05
1000,-3.4374334360464993,8.184615459883284e-05
1010,-3.4147692985850155,8.113331432415938e-05
1020,-3.3996646414588585,8.128948141564829e-05
1030,-3.3757917555372727,8.070724219460707e-05
1040,-3.3607854670831223,8.085655505283834e-05
1050,-3.3383780518836805,8.028499916418705e-05
1060,-3.3163277995737026,8.01136631919097e-05
1070,-3.297530658188343,8.046918065763624e-05
1080,-3.274020485978081,7.973171616819219e-05
1090,-3.24993115082318,7.896416892146237e-05
1100,-3.2306896939768888,7.8902147152703e-05
1110,-3.2104969110362966,7.843880923223707e-05
1120,-3.181072168538506,7.693399942695296e-05
1130,-3.1589428886533812,7.631656275035587e-05
1140,-3.1508931212866202,7.713084662159451e-05
1150,-3.130236292056478,7.601458577845578e-05
1160,-3.1161104628098264,7.598408882832548e-05
1170,-3.096207896638625,7.515434090169253e-05
1180,-3.0812633309872517,7.515367484955326e-05
1190,-3.064744803858254,7.454182273220227e-05
1200,-3.056027285693318,7.4782668671731e-05
1210,-3.0339346157114044,7.306989258890146e-05
1220,-3.020864487080375,7.294588753374139e-05
1230,-3.0047513397813006,7.250581888816356e-05
1240,-2.985687609387853,7.185180444050465e-05
1250,-2.958972433123494,7.030785303233236e-05
1260,-2.9355691593702087,6.918249179521981e-05
1270,-2.920977968582575,6.927735146455406e-05
1280,-2.9097700578143257,6.994275065746985e-05
1290,-2.8892419042020605,6.891964558427229e-05
1300,-2.8789934662832146,6.955098664812711e-05
1310,-3.004862241670464,7.849443324734662e-05
1320,-2.9096136286985774,7.060320511600773e-05
1330,-2.8475393874962496,6.649907738274674e-05
1340,-2.820871155363085,6.564565038196546e-05
1350,-2.8124132596778506,6.576257892075977e-05
1360,-2.79648329884258,6.486615894821806e-05
1370,-2.7855166631456854,6.48707559299479e-05
1380,-2.7702289307069705,6.448073325679965e-05
1390,-2.751352824797776,6.381140988076978e-05
1400,-2.7404180194254804,6.404137749396349e-05
1410,-2.731555183567028,6.458994677841825e-05
1420,-2.719789803103529,6.469319281913845e-05
1430,-2.705549032879878,6.377828187882532e-05
1440,-2.6901356743062035,6.272205017472675e-05
1450,-2.6822944339409087,6.262747849461029e-05
1460,-2.670144250715108,6.177480814529025e-05
1470,-2.657436853188181,6.093226222564495e-05
1480,-2.6506031159400365,6.108883208208259e-05
1490,-2.634637693170729,5.987924720179136e-05
1500,-2.623385348597171,5.930097056457315e-05
1510,-2.6229038741786077,6.0133314510538064e-05
1520,-2.608006369751062,5.914340517792947e-05
1530,-2.6003142989045487,5.92609525752905e-05
1540,-2.594987226545142,5.9620818990009614e-05
1550,-2.5795068205904577,5.84976414502181e-05
1560,-2.546777856783549,5.490068648346537e-05
1570,-2.5593132983214115,5.76944755031055e-05
1580,-2.5499755949010536,5.7357449442207274e-05
1590,-2.536884412676249,5.6614694144088336e-05
1600,-2.528472202301288,5.6454674108705805e-05
1610,-2.5188531122030136,5.605917947978757e-05
1620,-2.50522710936568,5.5356827172142464e-05
1630,-2.5059938752726034,5.658115783526961e-05
1640,-2.494026190431359,5.5901417189779886e-05
1650,-2.482909354063916,5.522735365839948e-05
1660,-2.4665004595753954,5.3746850541317054e-05
1670,-2.4728620288404173,5.554853037463578e-05
1680,-2.48572251481773,5.8045412120961134e-05
1690,-2.477559858368872,5.764821053546756e-05
1700,-2.448268414650147,5.447538894146934e-05
1710,-2.4346065858048056,5.362108830670728e-05
1720,-2.4254634435240945,5.325610329405876e-05
1730,-2.4186064451869944,5.3300037375636916e-05
1740,-2.435811315273856,5.666553788015208e-05
1750,-2.407172814173279,5.3250496448385575e-05
1760,-2.411965243341545,5.466271924842007e-05
1770,-2.3887652429430113,5.218724547301417e-05
1780,-2.3795371921312,5.171404955332966e-05
1790,-2.369040106294653,5.0864612711054466e-05
1800,-2.3714598231980233,5.192464876061469e-05
1810,-2.3683600915064678,5.2218330252372826e-05
1820,-2.355562389524051,5.116991094127236e-05
1830,-2.347533184988363,5.086208757002608e-05
1840,-2.3438494440314037,5.112867041504499e-05
1850,-2.339712997528888,5.134084100376339e-05
1860,-2.3355399052022787,5.145214164511919e-05
