episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
10,-198.3644656296395,0.054119836399710776,-58.55880714054714,0.0006359868094708605,-58.55880714054714,0.0006359868094708605,283,0.7198548067128905,0.28014519328710946,10000,184.0000297783116,-63.439965201003645,"[[0.33,0.339,0.331],[0.331,0.338,0.332]]"
20,-169.13276669448942,0.04171286870324258,-47.4564109998596,0.0005296523342253349,-47.4564109998596,0.0005296523342253349,569,0.8610436295486827,0.13895637045131726,20000,157.9063887600463,-6.802334410588762e-07,"[[0.267,0.514,0.219],[0.297,0.431,0.272]]"
30,-146.04184357525637,0.03333338789734749,-39.15938124165314,0.00044906420472628003,-39.15938124165314,0.00044906420472628003,872,0.9015419141537416,0.09845808584625837,30000,137.19104328207374,-1.115236318692317e-06,"[[0.241,0.6,0.159],[0.282,0.429,0.289]]"
40,-129.03099784521237,0.027592214764845958,-33.990569064870954,0.00038664684777883616,-33.990569064870954,0.00038664684777883616,1169,0.9303438919451824,0.06965610805481756,40000,123.39736976530621,-0.0012108570567709903,"[[0.318,0.361,0.321],[0.321,0.353,0.326]]"
50,-118.52865568717864,0.023881570998670963,-30.82195432287807,0.00034551889978852397,-30.82195432287807,0.00034551889978852397,1470,0.9437549826311179,0.056245017368882086,50000,115.18904175816282,-67.06354121479878,"[[0.313,0.369,0.318],[0.318,0.357,0.324]]"
60,-112.13606073622023,0.021594895819162248,-28.718981600926185,0.00032385703321747856,-28.718981600926185,0.00032385703321747856,1781,0.9529866054476518,0.04701339455234816,60000,109.8961102665921,-9.530861962704067e-07,"[[0.172,0.625,0.203],[0.256,0.501,0.243]]"
70,-107.50656196624152,0.02008962578146639,-27.07227955777849,0.0003099366504915331,-27.07227955777849,0.0003099366504915331,2094,0.9591552711039211,0.04084472889607894,70000,105.59841830479294,-2.387868384419868,"[[0.234,0.521,0.245],[0.192,0.664,0.144]]"
80,-103.32111984951783,0.018895922067685773,-25.56658135950504,0.0002957437922100972,-25.56658135950504,0.0002957437922100972,2406,0.9641506900334715,0.03584930996652847,80000,101.466653082377,-4.86036648871654e-06,"[[0.177,0.582,0.241],[0.165,0.699,0.136]]"
90,-99.2047929368383,0.017809581107655143,-24.079339624879356,0.0002770774008925005,-24.079339624879356,0.0002770774008925005,2718,0.9692624387537382,0.030737561246261823,90000,97.35835330104847,-0.049793797289323975,"[[0.301,0.39,0.309],[0.307,0.371,0.321]]"
100,-95.10629821025114,0.016800889583772204,-22.555384773348496,0.0002524707874972722,-22.555384773348496,0.0002524707874972722,3045,0.9701396690584925,0.02986033094150758,100000,93.26631513552265,-2.4619823457681823e-08,"[[0.178,0.631,0.191],[0.192,0.604,0.204]]"
110,-91.00369813603936,0.01589344156168284,-21.00905506762761,0.00022379139092666854,-21.00905506762761,0.00022379139092666854,3367,0.9734198189444879,0.026580181055512086,110000,89.16092137497161,-1.5421260002312046e-08,"[[0.298,0.401,0.301],[0.302,0.381,0.316]]"
120,-87.03416198869388,0.01511462765447629,-19.450415863618407,0.00018688341653536357,-19.450415863618407,0.00018688341653536357,3691,0.9753541456631611,0.02464585433683883,120000,85.32944895808052,-46.65117564994532,"[[0.04,0.936,0.024],[0.241,0.593,0.166]]"
130,-83.29951461774922,0.01453143161660703,-17.913032699534988,0.00014510915349523454,-17.913032699534988,0.00014510915349523454,4021,0.9763539891513362,0.023646010848663752,130000,81.7003133983221,-2.9962676784123244e-11,"[[0.089,0.625,0.285],[0.187,0.664,0.149]]"
140,-80.0218088723727,0.014130462115791631,-16.552644510468728,0.00011724159991576276,-16.552644510468728,0.00011724159991576276,4349,0.977993925051112,0.0220060749488879,140000,78.7825310950017,-204.68097653685092,"[[0.045,0.864,0.09],[0.243,0.602,0.155]]"
150,-77.50316330519263,0.013812244343674937,-15.500902649826187,0.000101926194857739,-15.500902649826187,0.000101926194857739,4687,0.9801205895687612,0.01987941043123874,150000,76.55123130245862,-0.0021681102129833484,"[[0.295,0.417,0.287],[0.29,0.398,0.312]]"
160,-75.58255002257609,0.013475155766935473,-14.811992580979217,9.463551305530545e-05,-14.811992580979217,9.463551305530545e-05,5026,0.9804271367244813,0.019572863275518684,160000,74.84513507420864,-235.5752457890901,"[[0.292,0.423,0.286],[0.289,0.399,0.311]]"
170,-74.05271455963006,0.013131357432106455,-14.348879674149666,9.025346514305463e-05,-14.348879674149666,9.025346514305463e-05,5357,0.9822415944085722,0.017758405591427828,170000,73.44641317360154,-4.619127302873949e-12,"[[0.02,0.968,0.013],[0.217,0.628,0.155]]"
180,-72.76762334974956,0.012829708879623458,-13.898025886924634,8.531858892828571e-05,-13.898025886924634,8.531858892828571e-05,5692,0.9830817972032602,0.016918202796739817,180000,72.22815535262143,-4.433666754398308e-06,"[[0.06,0.87,0.069],[0.065,0.776,0.159]]"
190,-71.60181151519546,0.01256926743613107,-13.46264003765021,8.070371178909616e-05,-13.46264003765021,8.070371178909616e-05,6031,0.9841685834996905,0.015831416500309548,190000,71.10342865312008,-359.749150093793,"[[0.277,0.44,0.283],[0.292,0.396,0.312]]"
200,-70.52388291206827,0.012325779266141014,-13.093803873274757,7.707263326031e-05,-13.093803873274757,7.707263326031e-05,6361,0.9856218787063058,0.014378121293694169,200000,70.05477557794478,-0.5493389249440074,"[[0.273,0.445,0.282],[0.293,0.394,0.313]]"
210,-69.49343166797608,0.012112969076475511,-12.741751327598436,7.36532792243491e-05,-12.741751327598436,7.36532792243491e-05,6694,0.9860648609242826,0.013935139075717376,210000,69.03827407303388,-21.1609017707462,"[[0.111,0.858,0.031],[0.263,0.563,0.174]]"
220,-68.49396511594281,0.011930259679901188,-12.393309129928403,7.024615495465889e-05,-12.393309129928403,7.024615495465889e-05,7038,0.9865555011142999,0.013444498885700144,220000,68.0586437707302,-1.5031277941758767,"[[0.642,0.305,0.053],[0.117,0.667,0.216]]"
230,-67.5547481285104,0.011780001239894916,-12.093438101812092,6.74238028540342e-05,-12.093438101812092,6.74238028540342e-05,7381,0.9875594633118094,0.012440536688190607,230000,67.15299055780405,-1.1383032538820358e-08,"[[0.025,0.883,0.092],[0.132,0.581,0.286]]"
240,-66.70025376507604,0.011662202249815087,-11.848327235767846,6.515760060021474e-05,-11.848327235767846,6.515760060021474e-05,7721,0.9875508504772318,0.012449149522768219,240000,66.34411207267631,-384.4865469180028,"[[0.554,0.403,0.043],[0.134,0.672,0.194]]"
250,-65.9446287545305,0.011556296758850703,-11.634756037682687,6.307693824516323e-05,-11.634756037682687,6.307693824516323e-05,8058,0.9882449043019821,0.011755095698017947,250000,65.63173677450904,-4.7011017301201516e-11,"[[0.014,0.903,0.083],[0.061,0.572,0.367]]"
260,-65.27886850260047,0.01143500021279286,-11.468593805512773,6.14991877410658e-05,-11.468593805512773,6.14991877410658e-05,8398,0.9891162894008082,0.010883710599191843,260000,64.99989367013158,-248.87628778869757,"[[0.25,0.467,0.284],[0.288,0.385,0.327]]"
