episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
10,-111.07566968760105,0.023684208543900638,-28.24959606584544,0.00022617770681318942,-28.24959606584544,0.00022617770681318942,189,0.6025456751368261,0.39745432486317384,10000,108.7094978131876,-108.0973674298034,"[[0.487,0.513],[0.501,0.499]]"
20,-105.81769804259318,0.02238281996214652,-26.53215528642518,0.00020611750481212273,-26.53215528642518,0.00020611750481212273,374,0.8006255106517862,0.19937448934821383,20000,103.50357727983605,-3.335536439431499e-08,"[[0.491,0.509],[0.507,0.493]]"
30,-100.72527302712291,0.021179837457874558,-24.84857712962604,0.00018859315112563455,-24.84857712962604,0.00018859315112563455,568,0.8636636438353309,0.13633635616466913,30000,98.41729472669847,-0.011153874937410551,"[[0.485,0.515],[0.509,0.491]]"
40,-95.50667478735015,0.019955277841668492,-23.068146921635293,0.00017156640509348177,-23.068146921635293,0.00017156640509348177,760,0.8991240034356281,0.10087599656437189,40000,93.1107206381953,-36.06537820549179,"[[0.588,0.412],[0.575,0.425]]"
50,-90.2009075835235,0.018781947256762542,-21.332425733414034,0.0001548731341133834,-21.332425733414034,0.0001548731341133834,951,0.920437086701276,0.07956291329872398,50000,87.87172204493798,-218.30741634742282,"[[0.476,0.524],[0.514,0.486]]"
60,-85.16473811392586,0.017771420801731753,-19.640318145002976,0.00013925419889996007,-19.640318145002976,0.00013925419889996007,1143,0.934386608025976,0.06561339197402401,60000,82.98255970280795,-2.82493621828164e-09,"[[0.472,0.528],[0.516,0.484]]"
70,-80.3401599424944,0.016782966012240736,-17.927761377182232,0.00012437803221381378,-17.927761377182232,0.00012437803221381378,1339,0.9426368728932287,0.05736312710677122,70000,78.20680329578994,-0.20750398178662863,"[[0.622,0.378],[0.573,0.427]]"
80,-75.53864727104659,0.015710595300450606,-16.21535002746816,0.00011017800618466949,-16.21535002746816,0.00011017800618466949,1537,0.9502075932826678,0.0497924067173322,80000,73.33856039932235,-267.7764682735302,"[[0.652,0.348],[0.511,0.489]]"
90,-70.59132599036182,0.014477405210528574,-14.526216520380425,9.658030969499983e-05,-14.526216520380425,9.658030969499983e-05,1735,0.9554820631822963,0.044517936817703656,90000,68.31920577941263,-1.7613121396181415,"[[0.468,0.532],[0.511,0.489]]"
100,-65.62851774757974,0.013124244528285537,-13.055768228142924,8.086789440552429e-05,-13.055768228142924,8.086789440552429e-05,1934,0.9599653954688784,0.04003460453112162,100000,63.42351922705095,-333.15827184193495,"[[0.467,0.533],[0.507,0.493]]"
